produkt_id,title,title_href,image_src,price,stars,like_number
64,"Hisense H55U7BUK 55-Inch 4K UH...",product.php?id=2006628085,https://m.media-amazon.com/images/I/91oErELwb8L._AC_UY218_ML3_.jpg,"$499,00",&#9733;&#9733;&#9733;&#9733;&#9734;,36
65,"Samsung UE50RU7400UXXU 50-inch...",product.php?id=2006628086,https://m.media-amazon.com/images/I/81Jr+LWjrwL._AC_UY218_ML3_.jpg,"$429,00",&#9733;&#9733;&#9733;&#9733;&#9734;,96
66,"Cello C55RTS 55” 4K Ultra HD...",product.php?id=2006628087,https://m.media-amazon.com/images/I/91vYENEdueL._AC_UY218_ML3_.jpg,"$435,99",&#9733;&#9733;&#9734;&#9734;&#9734;,15
67,"LG 49SM8600 4K SUHD - TV LED  ...",product.php?id=2006628088,https://m.media-amazon.com/images/I/71lMZDf8SML._AC_UY218_ML3_.jpg,"$579,00",-,0
68,"LG 55UK6300PLB 55-Inch UHD 4K ...",product.php?id=2006628089,https://m.media-amazon.com/images/I/81+Rn9kMByL._AC_UY218_ML3_.jpg,"$399,00",&#9733;&#9733;&#9733;&#9733;&#9734;,977
69,"LG 75SM8610 75&quot; Local Dim...",product.php?id=2006628090,https://m.media-amazon.com/images/I/713XOffmk+L._AC_UY218_ML3_.jpg,"$1799,00",-,0
70,"Samsung 49&quot; QLED Q60R TV ...",product.php?id=2006628091,https://m.media-amazon.com/images/I/719AP-rsLJL._AC_UY218_ML3_.jpg,"$627,00",&#9733;&#9733;&#9733;&#9734;&#9734;,9
71,"LG 65SK8000PLB 65-Inch Super U...",product.php?id=2006628092,https://m.media-amazon.com/images/I/91IBN3VNmuL._AC_UY218_ML3_.jpg,"$950,82",&#9733;&#9733;&#9733;&#9733;&#9734;,207
72,"LG 49SJ800V 49 inch Super UHD ...",product.php?id=2006628093,https://m.media-amazon.com/images/I/61eNFTopmCL._AC_UY218_ML3_.jpg,"$488,00",&#9733;&#9733;&#9733;&#9733;&#9734;,76
73,"Digihome 49292UHDFVP 49&quot; ...",product.php?id=2006628094,https://m.media-amazon.com/images/I/813bw2VOUCL._AC_UY218_ML3_.jpg,"$279,00",-,0
74,"55-inch 4K Curved Screen Smart...",product.php?id=2006628095,https://m.media-amazon.com/images/I/717O2biCf1L._AC_UY218_ML3_.jpg,"$699,99",-,0
75,"Hisense H50B7500UK 50-Inch 4K ...",product.php?id=2006628096,https://m.media-amazon.com/images/I/91m-9j6Uo9L._AC_UY218_ML3_.jpg,"$349,00",&#9733;&#9733;&#9733;&#9734;&#9734;,28
76,"Hakeeta Curved 55-Inch UHD 4K ...",product.php?id=2006628097,https://m.media-amazon.com/images/I/717O2biCf1L._AC_UY218_ML3_.jpg,"$686,99",-,0
77,"LG 65UK6300PLB 65-Inch UHD 4K ...",product.php?id=2006628098,https://m.media-amazon.com/images/I/81+Rn9kMByL._AC_UY218_ML3_.jpg,"$984,58",&#9733;&#9733;&#9733;&#9733;&#9734;,977
78,"LG 49UM7400 49&quot; Ultra HD,...",product.php?id=2006628099,https://m.media-amazon.com/images/I/61uGn3hNYiL._AC_UY218_ML3_.jpg,"$335,89",&#9733;&#9733;&#9733;&#9734;&#9734;,9
79,"LG OLED55C8PLA 55&quot; 4K Ult...",product.php?id=2006628100,https://m.media-amazon.com/images/I/61pgb8vR3+L._AC_UY218_ML3_.jpg,"$1228,00",&#9733;&#9733;&#9733;&#9733;&#9734;,71
80,"LG 55SM9800PLA TV",product.php?id=2006628101,https://m.media-amazon.com/images/I/71YIQIDUMiL._AC_UY218_ML3_.jpg,"$899,00",-,0
81,"ULTRA HD 4K TV 55IN 3840 X 216...",product.php?id=2006628102,https://m.media-amazon.com/images/I/61uGn3hNYiL._AC_UY218_ML3_.jpg,"$389,00",&#9733;&#9733;&#9733;&#9734;&#9734;,5
82,"Sony BRAVIA KD49XG7002ABU 49 I...",product.php?id=2006628103,https://m.media-amazon.com/images/I/91tF1ZXv7zL._AC_UY218_ML3_.jpg,"$591,49",&#9733;&#9733;&#9733;&#9733;&#9734;,28
83,"TV 65&quot; 4K SMART NANOCELL",product.php?id=2006628104,https://m.media-amazon.com/images/I/516+WNjyzKL._AC_UY218_ML3_.jpg,"$929,00",-,0
84,"LG 55UM7660PLA TV             ...",product.php?id=2006628105,https://m.media-amazon.com/images/I/71PCBC3eb3L._AC_UY218_ML3_.jpg,"$0,00",&#9733;&#9733;&#9733;&#9733;&#9733;,1
85,"LG OLED55B8SLC 55-Inch Premium...",product.php?id=2006628106,https://m.media-amazon.com/images/I/81FD6PqyPRL._AC_UY218_ML3_.jpg,"$1099,00",&#9733;&#9733;&#9733;&#9733;&#9734;,93
86,"TV LED UHD LG 49SM9000PLA",product.php?id=2006628107,https://m.media-amazon.com/images/I/516+WNjyzKL._AC_UY218_ML3_.jpg,"$852,00",-,0
87,"LG Electronics Lg 55sk8500 Tel...",product.php?id=2006628108,https://m.media-amazon.com/images/I/81BoPyMZicL._AC_UY218_ML3_.jpg,"$0,00",-,0
88,"TCL 43DP628 43” Smart TV –...",product.php?id=2006628109,https://m.media-amazon.com/images/I/71GUhMaBpvL._AC_UY218_ML3_.jpg,"$329,00",&#9733;&#9733;&#9733;&#9734;&#9734;,305
89,"Cello C75SFS-4K 75&quot; Super...",product.php?id=2006628110,https://m.media-amazon.com/images/I/71bM9KMdlvL._AC_UY218_ML3_.jpg,"$999,99",&#9733;&#9733;&#9734;&#9734;&#9734;,41
90,"LG 55SM8200PLA 100 Hz TV      ...",product.php?id=2006628111,https://m.media-amazon.com/images/I/516+WNjyzKL._AC_UY218_ML3_.jpg,"$0,00",-,0
91,"Panasonic TX-49FX700B 49-Inch ...",product.php?id=2006628112,https://m.media-amazon.com/images/I/71ZJof3Q0JL._AC_UY218_ML3_.jpg,"$405,62",&#9733;&#9733;&#9733;&#9734;&#9734;,17
92,"LG 65SM9800PLA TV",product.php?id=2006628113,https://m.media-amazon.com/images/I/71YIQIDUMiL._AC_UY218_ML3_.jpg,"$1299,00",-,0
93,"Rosvola 55-inch Ultra HD Smart...",product.php?id=2006628114,https://m.media-amazon.com/images/I/61jN9F0ktNL._AC_UY218_ML3_.jpg,"$654,67",-,0
94,"Hisense H55B7500UK 55-Inch 4K ...",product.php?id=2006628115,https://m.media-amazon.com/images/I/91m-9j6Uo9L._AC_UY218_ML3_.jpg,"$399,00",&#9733;&#9733;&#9733;&#9734;&#9734;,28
95,"Hakeeta 43inch Large Curved 4K...",product.php?id=2006628116,https://m.media-amazon.com/images/I/711kKh8Hg0L._AC_UY218_ML3_.jpg,"$391,99",-,0
96,"Cello C65Sfs4K 65” Superfast...",product.php?id=2006628117,https://m.media-amazon.com/images/I/71rPCpSVAFL._AC_UY218_ML3_.jpg,"$639,91",&#9733;&#9733;&#9734;&#9734;&#9734;,41
97,"LG 43UK6500PLA 43-Inch UHD 4K ...",product.php?id=2006628118,https://m.media-amazon.com/images/I/814RnOEeQSL._AC_UY218_ML3_.jpg,"$389,00",&#9733;&#9733;&#9733;&#9733;&#9734;,255
98,"LG Electronics LG 86UK6500",product.php?id=2006628119,https://m.media-amazon.com/images/I/71G+ITfLayL._AC_UY218_ML3_.jpg,"$0,00",-,0
99,"LG 65SM9010 4K Full Array - TV...",product.php?id=2006628120,https://m.media-amazon.com/images/I/516+WNjyzKL._AC_UY218_ML3_.jpg,"$1424,00",-,0
100,"LG 49UJ634V 49&quot; 4K Ultra ...",product.php?id=2006628121,https://m.media-amazon.com/images/I/91o8iVoYXDL._AC_UY218_ML3_.jpg,"$0,00",&#9733;&#9733;&#9733;&#9734;&#9734;,10
